,Month,ACT_n,NSW_n,NT_n,Qld_n,SA_n,Tas_n,Vic_n,WA_n,Aust_n,ACT_rate,NSW_rate,NT_rate,Qld_rate,SA_rate,Tas_rate,Vic_rate,WA_rate,Aust_rate,,,,,,,,,,
Hepatitis B (unspecified),Jan-20,7,165,5,59,23,4,121,39,423,1.6,2,2,1.2,1.3,0.7,1.8,1.5,1.7,,,,,,,,,,
Hepatitis C (newly acquired),Jan-20,1,2,0,48,3,0,2,7,63,0.2,0,0,0.9,0.2,0,0,0.3,0.2,,,,,,,,,,
Hepatitis C (unspecified),Jan-20,8,252,8,142,18,10,107,69,614,1.9,3.1,3.3,2.8,1,1.9,1.6,2.6,2.4,,,,,,,,,,
Hepatitis D,Jan-20,0,3,0,3,1,0,0,0,7,0,0,0,0.1,0.1,0,0,0,0,,,,,,,,,,
Botulism,Jan-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Campylobacteriosis,Jan-20,68,992,26,978,287,100,830,326,3607,16,12.3,10.6,19.2,16.4,18.7,12.6,12.4,20.9,,,,,,,,,,
Cryptosporidiosis,Jan-20,6,106,8,102,13,0,103,98,436,1.4,1.3,3.3,2,0.7,0,1.6,3.7,1.7,,,,,,,,,,
Haemolytic uraemic syndrome (HUS),Jan-20,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis A,Jan-20,0,7,0,2,1,0,8,0,18,0,0.1,0,0,0.1,0,0.1,0,0.1,,,,,,,,,,
Hepatitis E,Jan-20,0,1,0,1,2,0,2,1,7,0,0,0,0,0.1,0,0,0,0,,,,,,,,,,
Listeriosis,Jan-20,0,0,0,3,0,1,0,0,4,0,0,0,0.1,0,0.2,0,0,0,,,,,,,,,,
Paratyphoid,Jan-20,1,6,1,0,0,0,3,0,11,0.2,0.1,0.4,0,0,0,0,0,0,,,,,,,,,,
STEC,Jan-20,0,12,0,1,32,0,22,16,83,0,0.1,0,0,1.8,0,0.3,0.6,0.3,,,,,,,,,,
Salmonellosis,Jan-20,16,419,40,606,94,15,343,216,1749,3.8,5.2,16.3,11.9,5.4,2.8,5.2,8.2,6.9,,,,,,,,,,
Shigellosis,Jan-20,4,160,34,62,32,0,71,46,409,0.9,2,13.8,1.2,1.8,0,1.1,1.8,1.6,,,,,,,,,,
Typhoid Fever,Jan-20,1,11,0,2,0,0,3,1,18,0.2,0.1,0,0,0,0,0,0,0.1,,,,,,,,,,
Legionellosis,Jan-20,0,8,1,6,5,1,14,4,39,0,0.1,0.4,0.1,0.3,0.2,0.2,0.2,0.2,,,,,,,,,,
Leprosy,Jan-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Meningococcal disease (invasive),Jan-20,0,4,0,6,0,0,0,2,12,0,0,0,0.1,0,0,0,0.1,0,,,,,,,,,,
Tuberculosis,Jan-20,4,35,3,9,6,2,36,9,104,0.9,0.4,1.2,0.2,0.3,0.4,0.5,0.3,0.4,,,,,,,,,,
COVID-19,Jan-20,0,4,0,2,2,0,4,1,13,0,0,0,0,0.1,0,0.1,0,0.1,,,,,,,,,,
Cholera,Jan-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Middle East respiratory syndrome coronavirus,Jan-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Plague,Jan-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rabies,Jan-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Smallpox,Jan-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Viral haemorrhagic fever (NEC),Jan-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Yellow fever,Jan-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Chlamydial infection,Jan-20,158,3099,228,2113,556,113,403,1021,7691,37.1,38.3,92.6,41.5,31.7,21.1,6.1,38.9,30.3,,,,,,,,,,
Donovanosis,Jan-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Gonococcal infection,Jan-20,51,1230,92,646,183,22,932,400,3556,12,15.2,37.4,12.7,10.4,4.1,14.1,15.3,14,,,,,,,,,,
Syphilis < 2 years,Jan-20,5,175,26,96,19,0,162,58,541,1.2,2.2,10.6,1.9,1.1,0,2.5,2.2,2.1,,,,,,,,,,
Syphilis > 2 years or unspecified duration,Jan-20,2,46,5,16,11,2,67,21,170,0.5,0.6,2,0.3,0.6,0.4,1,0.8,0.7,,,,,,,,,,
Syphilis congenital,Jan-20,0,2,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Diphtheria,Jan-20,0,0,0,0,1,0,0,0,1,0,0,0,0,0.1,0,0,0,0,,,,,,,,,,
Haemophilus influenzae type b,Jan-20,0,1,1,1,0,0,0,0,3,0,0,0.4,0,0,0,0,0,0,,,,,,,,,,
Influenza (laboratory confirmed),Jan-20,93,2638,100,1541,419,59,1632,500,6982,21.8,32.6,40.6,30.3,23.9,11,24.8,19.1,27.5,,,,,,,,,,
Measles,Jan-20,0,10,0,4,0,0,3,4,21,0,0.1,0,0.1,0,0,0,0.2,0.1,,,,,,,,,,
Mumps,Jan-20,1,11,0,5,2,0,7,2,28,0.2,0.1,0,0.1,0.1,0,0.1,0.1,0.1,,,,,,,,,,
Pertussis,Jan-20,14,371,5,169,26,27,223,39,874,3.3,4.6,2,3.3,1.5,5.1,3.4,1.5,3.4,,,,,,,,,,
Pneumococcal disease (invasive),Jan-20,2,34,6,26,5,1,36,11,121,0.5,0.4,2.4,0.5,0.3,0.2,0.5,0.4,0.5,,,,,,,,,,
Poliovirus infection,Jan-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rotavirus,Jan-20,3,141,15,73,100,12,59,26,429,0.7,1.7,6.1,1.4,5.7,2.2,0.9,1,1.7,,,,,,,,,,
Rubella,Jan-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rubella congenital,Jan-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Tetanus,Jan-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Varicella zoster (chickenpox),Jan-20,25,0,3,100,48,2,88,50,316,5.9,0,1.2,2,2.7,0.4,1.3,1.9,1.2,,,,,,,,,,
Varicella zoster (shingles),Jan-20,41,0,46,664,291,33,232,203,1510,9.6,0,18.7,13,16.6,6.2,3.5,7.7,6,,,,,,,,,,
Varicella zoster (unspecified),Jan-20,11,0,0,52,6,16,749,116,950,2.6,0,0,1,0.3,3,11.4,4.4,3.7,,,,,,,,,,
Barmah Forest virus infection,Jan-20,0,8,1,21,0,0,0,1,31,0,0.1,0.4,0.4,0,0,0,0,0.1,,,,,,,,,,
Chikungunya virus infection,Jan-20,3,3,0,1,3,0,6,1,17,0.7,0,0,0,0.2,0,0.1,0,0.1,,,,,,,,,,
Dengue virus infection,Jan-20,0,19,7,13,5,2,5,20,71,0,0.2,2.8,0.3,0.3,0.4,0.1,0.8,0.3,,,,,,,,,,
Flavivirus infection (unspecified),Jan-20,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Japanese encephalitis virus infection,Jan-20,0,0,0,0,1,0,0,0,1,0,0,0,0,0.1,0,0,0,0,,,,,,,,,,
Malaria,Jan-20,1,5,0,13,2,0,6,9,36,0.2,0.1,0,0.3,0.1,0,0.1,0.3,0.1,,,,,,,,,,
Murray Valley encephalitis virus infection,Jan-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Ross River virus infection,Jan-20,0,15,5,63,1,1,6,33,124,0,0.2,2,1.2,0.1,0.2,0.1,1.3,0.5,,,,,,,,,,
West Nile/Kunjin virus infection,Jan-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Anthrax,Jan-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Australian bat lyssavirus infection,Jan-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Brucellosis,Jan-20,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Leptospirosis,Jan-20,0,0,0,9,0,0,0,0,9,0,0,0,0.2,0,0,0,0,0,,,,,,,,,,
Lyssavirus infection (NEC),Jan-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Ornithosis,Jan-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Q fever,Jan-20,0,25,0,21,0,2,5,0,53,0,0.3,0,0.4,0,0.4,0.1,0,0.2,,,,,,,,,,
Tularaemia,Jan-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis (NEC),Dec-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis B (newly acquired),Dec-19,0,0,0,7,0,0,3,2,12,0,0,0,0.1,0,0,0,0.1,0,,,,,,,,,,
Hepatitis B (unspecified),Dec-19,6,123,4,72,12,5,123,36,381,1.4,1.5,1.6,1.4,0.7,0.9,1.9,1.4,1.5,,,,,,,,,,
Hepatitis C (newly acquired),Dec-19,1,2,0,53,3,0,3,12,74,0.2,0,0,1,0.2,0,0,0.5,0.3,,,,,,,,,,
Hepatitis C (unspecified),Dec-19,5,237,20,167,19,16,123,70,657,1.2,2.9,8.1,3.3,1.1,3,1.9,2.7,2.6,,,,,,,,,,
Hepatitis D,Dec-19,0,1,0,2,1,0,1,1,6,0,0,0,0,0.1,0,0,0,0,,,,,,,,,,
Botulism,Dec-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Campylobacteriosis,Dec-19,51,893,38,803,284,124,700,297,3190,12,11,15.4,15.8,16.2,23.2,10.6,11.3,18.5,,,,,,,,,,
Cryptosporidiosis,Dec-19,0,77,10,55,12,1,64,26,245,0,1,4.1,1.1,0.7,0.2,1,1,1,,,,,,,,,,
Haemolytic uraemic syndrome (HUS),Dec-19,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis A,Dec-19,0,4,1,3,2,0,14,1,25,0,0,0.4,0.1,0.1,0,0.2,0,0.1,,,,,,,,,,
Hepatitis E,Dec-19,0,3,0,0,1,0,0,1,5,0,0,0,0,0.1,0,0,0,0,,,,,,,,,,
Listeriosis,Dec-19,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Paratyphoid,Dec-19,0,4,0,4,1,0,2,2,13,0,0,0,0.1,0.1,0,0,0.1,0.1,,,,,,,,,,
STEC,Dec-19,1,9,0,4,27,0,12,14,67,0.2,0.1,0,0.1,1.5,0,0.2,0.5,0.3,,,,,,,,,,
Salmonellosis,Dec-19,18,313,46,456,85,20,264,190,1392,4.2,3.9,18.7,9,4.9,3.7,4,7.2,5.5,,,,,,,,,,
Shigellosis,Dec-19,6,68,21,47,17,0,42,32,233,1.4,0.8,8.5,0.9,1,0,0.6,1.2,0.9,,,,,,,,,,
Typhoid Fever,Dec-19,1,5,0,2,1,0,7,3,19,0.2,0.1,0,0,0.1,0,0.1,0.1,0.1,,,,,,,,,,
Legionellosis,Dec-19,0,12,0,3,5,2,14,3,39,0,0.1,0,0.1,0.3,0.4,0.2,0.1,0.2,,,,,,,,,,
Leprosy,Dec-19,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Meningococcal disease (invasive),Dec-19,0,3,0,2,0,0,3,2,10,0,0,0,0,0,0,0,0.1,0,,,,,,,,,,
Tuberculosis,Dec-19,2,41,5,11,11,2,51,14,137,0.5,0.5,2,0.2,0.6,0.4,0.8,0.5,0.5,,,,,,,,,,
COVID-19,Dec-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Cholera,Dec-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Middle East respiratory syndrome coronavirus,Dec-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Plague,Dec-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rabies,Dec-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Smallpox,Dec-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Viral haemorrhagic fever (NEC),Dec-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Yellow fever,Dec-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Chlamydial infection,Dec-19,110,2371,184,1598,419,107,321,848,5958,25.8,29.3,74.8,31.4,23.9,20,4.9,32.3,23.5,,,,,,,,,,
Donovanosis,Dec-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Gonococcal infection,Dec-19,28,855,70,494,159,13,626,321,2566,6.6,10.6,28.4,9.7,9.1,2.4,9.5,12.2,10.1,,,,,,,,,,
Syphilis < 2 years,Dec-19,5,150,24,99,16,1,102,38,435,1.2,1.9,9.8,1.9,0.9,0.2,1.5,1.4,1.7,,,,,,,,,,
Syphilis > 2 years or unspecified duration,Dec-19,1,40,5,28,8,3,68,16,169,0.2,0.5,2,0.5,0.5,0.6,1,0.6,0.7,,,,,,,,,,
Syphilis congenital,Dec-19,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Diphtheria,Dec-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Haemophilus influenzae type b,Dec-19,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Influenza (laboratory confirmed),Dec-19,76,1273,190,648,445,55,1370,254,4311,17.8,15.7,77.2,12.7,25.4,10.3,20.8,9.7,17,,,,,,,,,,
Measles,Dec-19,0,7,1,5,0,0,4,0,17,0,0.1,0.4,0.1,0,0,0.1,0,0.1,,,,,,,,,,
Mumps,Dec-19,0,7,0,7,1,1,2,2,20,0,0.1,0,0.1,0.1,0.2,0,0.1,0.1,,,,,,,,,,
Pertussis,Dec-19,15,511,1,179,19,28,261,55,1069,3.5,6.3,0.4,3.5,1.1,5.2,4,2.1,4.2,,,,,,,,,,
Pneumococcal disease (invasive),Dec-19,0,61,7,30,12,2,33,15,160,0,0.8,2.8,0.6,0.7,0.4,0.5,0.6,0.6,,,,,,,,,,
Poliovirus infection,Dec-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rotavirus,Dec-19,4,334,22,169,163,18,71,45,826,0.9,4.1,8.9,3.3,9.3,3.4,1.1,1.7,3.3,,,,,,,,,,
Rubella,Dec-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rubella congenital,Dec-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Tetanus,Dec-19,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Varicella zoster (chickenpox),Dec-19,31,NN,5,89,47,5,110,62,349,7.3,NN,2,1.7,2.7,0.9,1.7,2.4,1.4,,,,,,,,,,
Varicella zoster (shingles),Dec-19,33,NN,35,624,265,28,184,188,1357,7.7,NN,14.2,12.3,15.1,5.2,2.8,7.2,5.4,,,,,,,,,,
Varicella zoster (unspecified),Dec-19,11,NN,0,77,19,22,734,106,969,2.6,NN,0,1.5,1.1,4.1,11.1,4,3.8,,,,,,,,,,
Barmah Forest virus infection,Dec-19,0,2,1,9,0,1,0,1,14,0,0,0.4,0.2,0,0.2,0,0,0.1,,,,,,,,,,
Chikungunya virus infection,Dec-19,0,3,0,0,1,0,2,2,8,0,0,0,0,0.1,0,0,0.1,0,,,,,,,,,,
Dengue virus infection,Dec-19,3,30,1,7,5,1,0,25,72,0.7,0.4,0.4,0.1,0.3,0.2,0,1,0.3,,,,,,,,,,
Flavivirus infection (unspecified),Dec-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Japanese encephalitis virus infection,Dec-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Malaria,Dec-19,0,6,1,6,5,1,5,3,27,0,0.1,0.4,0.1,0.3,0.2,0.1,0.1,0.1,,,,,,,,,,
Murray Valley encephalitis virus infection,Dec-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Ross River virus infection,Dec-19,0,21,9,57,0,3,1,14,105,0,0.3,3.7,1.1,0,0.6,0,0.5,0.4,,,,,,,,,,
West Nile/Kunjin virus infection,Dec-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Anthrax,Dec-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Australian bat lyssavirus infection,Dec-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Brucellosis,Dec-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Leptospirosis,Dec-19,0,3,0,2,1,0,0,2,8,0,0,0,0,0.1,0,0,0.1,0,,,,,,,,,,
Lyssavirus infection (NEC),Dec-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Ornithosis,Dec-19,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Q fever,Dec-19,0,17,0,21,2,2,3,1,46,0,0.2,0,0.4,0.1,0.4,0,0,0.2,,,,,,,,,,
Tularaemia,Dec-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis (NEC),Nov-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis B (newly acquired),Nov-19,0,4,0,3,1,1,2,1,12,0,0,0,0.1,0.1,0.2,0,0,0,,,,,,,,,,
Hepatitis B (unspecified),Nov-19,9,176,6,77,23,4,110,37,442,2.1,2.2,2.4,1.5,1.3,0.7,1.7,1.4,1.7,,,,,,,,,,
Hepatitis C (newly acquired),Nov-19,0,3,0,62,3,3,4,12,87,0,0,0,1.2,0.2,0.6,0.1,0.5,0.3,,,,,,,,,,
Hepatitis C (unspecified),Nov-19,8,283,6,140,27,14,104,68,650,1.9,3.5,2.4,2.7,1.5,2.6,1.6,2.6,2.6,,,,,,,,,,
Hepatitis D,Nov-19,0,1,0,1,1,0,1,0,4,0,0,0,0,0.1,0,0,0,0,,,,,,,,,,
Botulism,Nov-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Campylobacteriosis,Nov-19,70,1037,24,910,287,99,677,371,3475,16.4,12.8,9.8,17.9,16.4,18.5,10.3,14.2,20.1,,,,,,,,,,
Cryptosporidiosis,Nov-19,0,85,10,76,13,5,51,31,271,0,1.1,4.1,1.5,0.7,0.9,0.8,1.2,1.1,,,,,,,,,,
Haemolytic uraemic syndrome (HUS),Nov-19,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis A,Nov-19,0,3,0,1,0,0,16,0,20,0,0,0,0,0,0,0.2,0,0.1,,,,,,,,,,
Hepatitis E,Nov-19,0,1,0,0,0,0,3,1,5,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Listeriosis,Nov-19,0,2,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Paratyphoid,Nov-19,0,0,0,0,1,0,1,0,2,0,0,0,0,0.1,0,0,0,0,,,,,,,,,,
STEC,Nov-19,0,14,0,2,23,0,14,16,69,0,0.2,0,0,1.3,0,0.2,0.6,0.3,,,,,,,,,,
Salmonellosis,Nov-19,16,238,44,354,73,21,271,230,1247,3.8,2.9,17.9,7,4.2,3.9,4.1,8.8,4.9,,,,,,,,,,
Shigellosis,Nov-19,5,82,20,39,22,2,47,34,251,1.2,1,8.1,0.8,1.3,0.4,0.7,1.3,1,,,,,,,,,,
Typhoid Fever,Nov-19,0,2,0,0,1,0,4,1,8,0,0,0,0,0.1,0,0.1,0,0,,,,,,,,,,
Legionellosis,Nov-19,0,14,0,3,5,3,18,7,50,0,0.2,0,0.1,0.3,0.6,0.3,0.3,0.2,,,,,,,,,,
Leprosy,Nov-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Meningococcal disease (invasive),Nov-19,0,3,0,1,2,1,4,3,14,0,0,0,0,0.1,0.2,0.1,0.1,0.1,,,,,,,,,,
Tuberculosis,Nov-19,2,48,3,12,8,0,36,20,129,0.5,0.6,1.2,0.2,0.5,0,0.5,0.8,0.5,,,,,,,,,,
COVID-19,Nov-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Cholera,Nov-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Middle East respiratory syndrome coronavirus,Nov-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Plague,Nov-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rabies,Nov-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Smallpox,Nov-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Viral haemorrhagic fever (NEC),Nov-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Yellow fever,Nov-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Chlamydial infection,Nov-19,107,2906,271,2016,492,112,388,987,7279,25.1,35.9,110.1,39.6,28.1,21,5.9,37.6,28.7,,,,,,,,,,
Donovanosis,Nov-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Gonococcal infection,Nov-19,21,909,95,570,197,29,643,340,2804,4.9,11.2,38.6,11.2,11.2,5.4,9.8,13,11.1,,,,,,,,,,
Syphilis < 2 years,Nov-19,9,159,25,112,18,1,134,48,506,2.1,2,10.2,2.2,1,0.2,2,1.8,2,,,,,,,,,,
Syphilis > 2 years or unspecified duration,Nov-19,3,61,7,26,9,1,78,20,205,0.7,0.8,2.8,0.5,0.5,0.2,1.2,0.8,0.8,,,,,,,,,,
Syphilis congenital,Nov-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Diphtheria,Nov-19,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Haemophilus influenzae type b,Nov-19,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Influenza (laboratory confirmed),Nov-19,25,1194,64,660,578,71,962,183,3737,5.9,14.8,26,13,33,13.3,14.6,7,14.7,,,,,,,,,,
Measles,Nov-19,0,2,0,11,0,0,15,0,28,0,0,0,0.2,0,0,0.2,0,0.1,,,,,,,,,,
Mumps,Nov-19,0,4,0,5,1,0,0,4,14,0,0,0,0.1,0.1,0,0,0.2,0.1,,,,,,,,,,
Pertussis,Nov-19,13,638,1,194,24,60,218,27,1175,3.1,7.9,0.4,3.8,1.4,11.2,3.3,1,4.6,,,,,,,,,,
Pneumococcal disease (invasive),Nov-19,3,54,4,22,9,3,34,21,150,0.7,0.7,1.6,0.4,0.5,0.6,0.5,0.8,0.6,,,,,,,,,,
Poliovirus infection,Nov-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rotavirus,Nov-19,5,382,15,320,184,9,83,50,1048,1.2,4.7,6.1,6.3,10.5,1.7,1.3,1.9,4.1,,,,,,,,,,
Rubella,Nov-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rubella congenital,Nov-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Tetanus,Nov-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Varicella zoster (chickenpox),Nov-19,48,NN,7,168,72,7,123,44,469,11.3,NN,2.8,3.3,4.1,1.3,1.9,1.7,1.8,,,,,,,,,,
Varicella zoster (shingles),Nov-19,35,NN,38,659,306,33,186,199,1456,8.2,NN,15.4,12.9,17.5,6.2,2.8,7.6,5.7,,,,,,,,,,
Varicella zoster (unspecified),Nov-19,18,NN,0,43,11,27,674,132,905,4.2,NN,0,0.8,0.6,5.1,10.2,5,3.6,,,,,,,,,,
Barmah Forest virus infection,Nov-19,0,1,0,12,2,1,0,2,18,0,0,0,0.2,0.1,0.2,0,0.1,0.1,,,,,,,,,,
Chikungunya virus infection,Nov-19,0,4,1,0,0,0,3,1,9,0,0,0.4,0,0,0,0,0,0,,,,,,,,,,
Dengue virus infection,Nov-19,6,42,2,15,7,3,0,32,107,1.4,0.5,0.8,0.3,0.4,0.6,0,1.2,0.4,,,,,,,,,,
Flavivirus infection (unspecified),Nov-19,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Japanese encephalitis virus infection,Nov-19,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Malaria,Nov-19,0,8,1,6,3,1,10,5,34,0,0.1,0.4,0.1,0.2,0.2,0.2,0.2,0.1,,,,,,,,,,
Murray Valley encephalitis virus infection,Nov-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Ross River virus infection,Nov-19,2,23,6,75,5,2,7,16,136,0.5,0.3,2.4,1.5,0.3,0.4,0.1,0.6,0.5,,,,,,,,,,
West Nile/Kunjin virus infection,Nov-19,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Anthrax,Nov-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Australian bat lyssavirus infection,Nov-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Brucellosis,Nov-19,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Leptospirosis,Nov-19,0,0,0,3,0,0,2,0,5,0,0,0,0.1,0,0,0,0,0,,,,,,,,,,
Lyssavirus infection (NEC),Nov-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Ornithosis,Nov-19,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Q fever,Nov-19,0,20,0,22,1,3,2,0,48,0,0.2,0,0.4,0.1,0.6,0,0,0.2,,,,,,,,,,
Tularaemia,Nov-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis (NEC),Oct-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
